[2024-11-18T10:51:39.804Z] Method: GET, URL: /task?title=add&done=0&limit=4&page=1
[2024-11-18T10:52:03.337Z] Method: GET, URL: /task/6
[2024-11-18T10:57:27.604Z] Method: PUT, URL: /task
[2024-11-18T10:57:33.220Z] Method: PUT, URL: /task/1
[2024-11-18T10:58:14.570Z] Method: PUT, URL: /task/1
[2024-11-18T10:58:23.785Z] Method: PUT, URL: /task/6
[2024-11-18T10:59:12.037Z] Method: GET, URL: /task/6
[2024-11-18T10:59:33.676Z] Method: GET, URL: /task/6
[2024-11-18T12:04:18.890Z] Method: GET, URL: /task/7
[2024-11-18T12:04:23.940Z] Method: GET, URL: /task/4
[2024-11-18T12:04:27.536Z] Method: GET, URL: /task/
[2024-11-18T12:11:25.288Z] Method: GET, URL: /task
[2024-11-18T12:13:24.653Z] Method: DELETE, URL: /task/7
[2024-11-18T12:16:26.982Z] Method: GET, URL: /signup
[2024-11-18T12:17:19.621Z] Method: GET, URL: /task/signup
[2024-11-18T12:17:24.704Z] Method: GET, URL: /task
[2024-11-18T12:17:28.006Z] Method: GET, URL: /signup
[2024-11-18T12:29:09.624Z] Method: PUT, URL: /task/3
[2024-11-18T12:58:04.408Z] Method: GET, URL: /auth/
[2024-11-18T12:58:16.912Z] Method: PUT, URL: /auth/
[2024-11-18T12:58:27.351Z] Method: PUT, URL: /auth/
[2024-11-18T13:02:10.226Z] Method: PUT, URL: /auth/signup
[2024-11-18T13:04:24.672Z] Method: PUT, URL: /auth/signup
[2024-11-18T13:05:46.869Z] Method: PUT, URL: /auth/signup
[2024-11-18T13:06:44.932Z] Method: PUT, URL: /auth/signup
[2024-11-18T13:07:42.834Z] Method: PUT, URL: /auth/signup
[2024-11-18T13:07:59.015Z] Method: GET, URL: /signup
[2024-11-18T13:08:08.441Z] Method: GET, URL: /auth/signup
[2024-11-18T13:08:18.850Z] Method: GET, URL: /tasks
[2024-11-18T13:08:24.360Z] Method: GET, URL: /task
[2024-11-18T13:18:47.573Z] Method: PUT, URL: /auth/signup
[2024-11-18T13:20:23.595Z] Method: PUT, URL: /auth/signup
[2024-11-18T13:21:21.930Z] Method: PUT, URL: /auth/signup
[2024-11-18T13:21:23.509Z] Method: PUT, URL: /auth/signup
[2024-11-18T13:23:40.847Z] Method: PUT, URL: /auth/signup
[2024-11-18T13:25:51.093Z] Method: PUT, URL: /auth/signup
[2024-11-18T13:26:54.345Z] Method: PUT, URL: /auth/signup
[2024-11-18T13:27:23.961Z] Method: POST, URL: /auth/signup
[2024-11-18T13:46:43.197Z] Method: GET, URL: /profile.
[2024-11-18T13:46:45.897Z] Method: GET, URL: /profile/
[2024-11-18T13:52:13.169Z] Method: POST, URL: /auth/signup
[2024-11-18T13:53:34.106Z] Method: POST, URL: /auth/signup
[2024-11-18T13:57:39.361Z] Method: GET, URL: /profile/
